userName,score,at,content,Cleaning,HapusEmoji,3/Lebih,CaseFolding
Pengguna Netral,3,2026-01-04 14:19:18,"Agak ribet syaratnya, tapi lumayan bisa bayar ditempat","Agak ribet syaratnya, tapi lumayan bisa bayar ditempat","Agak ribet syaratnya, tapi lumayan bisa bayar ditempat","Agak ribet syaratnya, tapi lumayan bisa bayar ditempat","agak ribet syaratnya, tapi lumayan bisa bayar ditempat"
Pengguna Positif,5,2026-01-04 14:19:18,"Sangat memuaskan, cod tanpa ribet dan kurir sopan","Sangat memuaskan, cod tanpa ribet dan kurir sopan","Sangat memuaskan, cod tanpa ribet dan kurir sopan","Sangat memuaskan, cod tanpa ribet dan kurir sopan","sangat memuaskan, cod tanpa ribet dan kurir sopan"
Pengguna Positif,5,2026-01-04 14:19:18,Layanan COD terbaik dibanding marketplace lain,Layanan COD terbaik dibanding marketplace lain,Layanan COD terbaik dibanding marketplace lain,Layanan COD terbaik dibanding marketplace lain,layanan cod terbaik dibanding marketplace lain
Pengguna Positif,5,2026-01-04 14:19:18,"Suka fitur ini, sangat membantu bagi yang tidak punya rekening","Suka fitur ini, sangat membantu bagi yang tidak punya rekening","Suka fitur ini, sangat membantu bagi yang tidak punya rekening","Suka fitur ini, sangat membantu bagi yang tidak punya rekening","suka fitur ini, sangat membantu bagi yang tidak punya rekening"
Pengguna Positif,5,2026-01-04 14:19:18,Puas banget sama sistem pembayarannya,Puas banget sama sistem pembayarannya,Puas banget sama sistem pembayarannya,Puas banget sama sistem pembayarannya,puas banget sama sistem pembayarannya
Pengguna Positif,5,2026-01-04 14:19:18,"Suka banget belanja di sini bisa bayar ditempat, prosesnya mudah","Suka banget belanja di sini bisa bayar ditempat, prosesnya mudah","Suka banget belanja di sini bisa bayar ditempat, prosesnya mudah","Suka banget belanja di sini bisa bayar ditempat, prosesnya mudah","suka banget belanja di sini bisa bayar ditempat, prosesnya mudah"
Pengguna Positif,5,2026-01-04 14:19:18,Tokopedia emang paling ngerti kebutuhan pembeli dengan adanya COD,Tokopedia emang paling ngerti kebutuhan pembeli dengan adanya COD,Tokopedia emang paling ngerti kebutuhan pembeli dengan adanya COD,Tokopedia emang paling ngerti kebutuhan pembeli dengan adanya COD,tokopedia emang paling ngerti kebutuhan pembeli dengan adanya cod
Pengguna Positif,5,2026-01-04 14:19:18,COD tokopedia paling aman dan terpercaya,COD tokopedia paling aman dan terpercaya,COD tokopedia paling aman dan terpercaya,COD tokopedia paling aman dan terpercaya,cod tokopedia paling aman dan terpercaya
Pengguna Positif,5,2026-01-04 14:19:18,Pengalaman COD di Tokopedia selalu menyenangkan,Pengalaman COD di Tokopedia selalu menyenangkan,Pengalaman COD di Tokopedia selalu menyenangkan,Pengalaman COD di Tokopedia selalu menyenangkan,pengalaman cod di tokopedia selalu menyenangkan
Pengguna Positif,5,2026-01-04 14:19:18,Layanan COD terbaik dibanding marketplace lain,Layanan COD terbaik dibanding marketplace lain,Layanan COD terbaik dibanding marketplace lain,Layanan COD terbaik dibanding marketplace lain,layanan cod terbaik dibanding marketplace lain
Pengguna Positif,5,2026-01-04 14:19:18,"Sangat memuaskan, cod tanpa ribet dan kurir sopan","Sangat memuaskan, cod tanpa ribet dan kurir sopan","Sangat memuaskan, cod tanpa ribet dan kurir sopan","Sangat memuaskan, cod tanpa ribet dan kurir sopan","sangat memuaskan, cod tanpa ribet dan kurir sopan"
Pengguna Positif,5,2026-01-04 14:19:18,"Top banget pelayanan cod nya, barang cepat sampai","Top banget pelayanan cod nya, barang cepat sampai","Top banget pelayanan cod nya, barang cepat sampai","Top banget pelayanan cod nya, barang cepat sampai","top banget pelayanan cod nya, barang cepat sampai"
Pengguna Positif,5,2026-01-04 14:19:18,"Tidak pernah kecewa dengan fitur cod tokopedia, selalu sukses","Tidak pernah kecewa dengan fitur cod tokopedia, selalu sukses","Tidak pernah kecewa dengan fitur cod tokopedia, selalu sukses","Tidak pernah kecewa dengan fitur cod tokopedia, selalu sukses","tidak pernah kecewa dengan fitur cod tokopedia, selalu sukses"
Pengguna Positif,5,2026-01-04 14:19:18,Fitur bayar di tempat ini sangat memudahkan pembeli,Fitur bayar di tempat ini sangat memudahkan pembeli,Fitur bayar di tempat ini sangat memudahkan pembeli,Fitur bayar di tempat ini sangat memudahkan pembeli,fitur bayar di tempat ini sangat memudahkan pembeli
Pengguna Positif,5,2026-01-04 14:19:18,"Tokopedia mantap, cod nya lancar jaya","Tokopedia mantap, cod nya lancar jaya","Tokopedia mantap, cod nya lancar jaya","Tokopedia mantap, cod nya lancar jaya","tokopedia mantap, cod nya lancar jaya"
Pengguna Positif,5,2026-01-04 14:19:18,"Suka banget belanja di sini bisa bayar ditempat, prosesnya mudah","Suka banget belanja di sini bisa bayar ditempat, prosesnya mudah","Suka banget belanja di sini bisa bayar ditempat, prosesnya mudah","Suka banget belanja di sini bisa bayar ditempat, prosesnya mudah","suka banget belanja di sini bisa bayar ditempat, prosesnya mudah"
Pengguna Positif,5,2026-01-04 14:19:18,COD tokopedia paling aman dan terpercaya,COD tokopedia paling aman dan terpercaya,COD tokopedia paling aman dan terpercaya,COD tokopedia paling aman dan terpercaya,cod tokopedia paling aman dan terpercaya
Pengguna Positif,5,2026-01-04 14:19:18,"Top banget pelayanan cod nya, barang cepat sampai","Top banget pelayanan cod nya, barang cepat sampai","Top banget pelayanan cod nya, barang cepat sampai","Top banget pelayanan cod nya, barang cepat sampai","top banget pelayanan cod nya, barang cepat sampai"
Pengguna Positif,5,2026-01-04 14:19:18,Solusi belanja online tanpa ribet ya COD Tokopedia,Solusi belanja online tanpa ribet ya COD Tokopedia,Solusi belanja online tanpa ribet ya COD Tokopedia,Solusi belanja online tanpa ribet ya COD Tokopedia,solusi belanja online tanpa ribet ya cod tokopedia
Pengguna Positif,5,2026-01-04 14:19:18,Pengalaman COD di Tokopedia selalu menyenangkan,Pengalaman COD di Tokopedia selalu menyenangkan,Pengalaman COD di Tokopedia selalu menyenangkan,Pengalaman COD di Tokopedia selalu menyenangkan,pengalaman cod di tokopedia selalu menyenangkan
Pengguna Positif,5,2026-01-04 14:19:18,"Kurirnya ramah, barang sesuai pesanan, cod aman banget","Kurirnya ramah, barang sesuai pesanan, cod aman banget","Kurirnya ramah, barang sesuai pesanan, cod aman banget","Kurirnya ramah, barang sesuai pesanan, cod aman banget","kurirnya ramah, barang sesuai pesanan, cod aman banget"
Pengguna Positif,5,2026-01-04 14:19:18,"Suka banget belanja di sini bisa bayar ditempat, prosesnya mudah","Suka banget belanja di sini bisa bayar ditempat, prosesnya mudah","Suka banget belanja di sini bisa bayar ditempat, prosesnya mudah","Suka banget belanja di sini bisa bayar ditempat, prosesnya mudah","suka banget belanja di sini bisa bayar ditempat, prosesnya mudah"
Pengguna Positif,5,2026-01-04 14:19:18,"Aplikasi terbaik, fitur COD nya juara","Aplikasi terbaik, fitur COD nya juara","Aplikasi terbaik, fitur COD nya juara","Aplikasi terbaik, fitur COD nya juara","aplikasi terbaik, fitur cod nya juara"
Pengguna Positif,5,2026-01-04 14:19:18,"Cod lancar, barang oke, kurir ramah","Cod lancar, barang oke, kurir ramah","Cod lancar, barang oke, kurir ramah","Cod lancar, barang oke, kurir ramah","cod lancar, barang oke, kurir ramah"
Pengguna Positif,5,2026-01-04 14:19:18,Bintang 5 buat fitur COD nya,Bintang 5 buat fitur COD nya,Bintang 5 buat fitur COD nya,Bintang 5 buat fitur COD nya,bintang 5 buat fitur cod nya
Pengguna Positif,5,2026-01-04 14:19:18,"Top banget pelayanan cod nya, barang cepat sampai","Top banget pelayanan cod nya, barang cepat sampai","Top banget pelayanan cod nya, barang cepat sampai","Top banget pelayanan cod nya, barang cepat sampai","top banget pelayanan cod nya, barang cepat sampai"
Pengguna Positif,5,2026-01-04 14:19:18,"Top banget pelayanan cod nya, barang cepat sampai","Top banget pelayanan cod nya, barang cepat sampai","Top banget pelayanan cod nya, barang cepat sampai","Top banget pelayanan cod nya, barang cepat sampai","top banget pelayanan cod nya, barang cepat sampai"
Pengguna Positif,5,2026-01-04 14:19:18,Layanan COD terbaik dibanding marketplace lain,Layanan COD terbaik dibanding marketplace lain,Layanan COD terbaik dibanding marketplace lain,Layanan COD terbaik dibanding marketplace lain,layanan cod terbaik dibanding marketplace lain
Pengguna Positif,5,2026-01-04 14:19:18,"Suka fitur ini, sangat membantu bagi yang tidak punya rekening","Suka fitur ini, sangat membantu bagi yang tidak punya rekening","Suka fitur ini, sangat membantu bagi yang tidak punya rekening","Suka fitur ini, sangat membantu bagi yang tidak punya rekening","suka fitur ini, sangat membantu bagi yang tidak punya rekening"
